Customer ID,Recence,Frequence,Montant,Cluster
12346.0,326,34,77556.46,1
12347.0,2,253,5633.32,2
12348.0,75,51,2019.4,1
12349.0,19,175,4428.69,2
12350.0,310,17,334.4,3
12351.0,375,21,300.93,3
12352.0,36,103,2849.84,2
12353.0,204,24,406.76,3
12354.0,232,58,1079.4,1
12355.0,214,35,947.61,1
12356.0,23,143,6373.68,2
12357.0,33,296,18287.66,2
12358.0,2,77,3887.07,2
12359.0,58,365,8935.94,2
12360.0,52,217,4252.89,2
12361.0,287,29,511.25,3
12362.0,3,267,5356.23,2
12363.0,110,23,552.0,3
12364.0,8,85,1313.1,0
12365.0,291,22,641.38,3
12366.0,634,3,500.24,3
12367.0,4,11,168.9,0
12368.0,628,18,917.6999999999999,3
12369.0,413,93,1791.15,1
12370.0,51,202,4320.31,2
12371.0,45,167,4067.38,2
12372.0,72,52,1298.04,1
12373.0,311,51,1127.65,1
12374.0,25,83,2989.2200000000003,2
12375.0,11,17,457.5,0
12376.0,390,13,503.15,3
12377.0,315,152,3426.32,1
12378.0,130,301,5416.32,2
12379.0,82,81,1620.22,1
12380.0,22,277,9676.300000000001,2
12381.0,5,87,1845.31,0
12383.0,185,99,1850.56,1
12384.0,29,27,585.27,0
12385.0,379,65,1938.4,1
12386.0,338,18,660.8,3
12387.0,415,9,143.94,3
12388.0,16,146,3901.11,2
12389.0,403,49,1433.33,1
12390.0,80,32,549.84,0
12391.0,22,281,2773.42,2
12392.0,591,7,234.75000000000003,3
12393.0,72,107,2399.4500000000003,1
12394.0,64,27,1272.48,0
12395.0,19,254,5067.27,2
12396.0,674,65,931.43,1
12397.0,36,126,2409.9,2
12398.0,46,85,1635.6599999999999,0
12399.0,119,110,1962.3,1
12400.0,414,11,205.25,3
12401.0,303,5,84.3,3
12402.0,323,70,1256.9,1
12403.0,50,9,1019.36,0
12404.0,682,1,63.24,3
12405.0,149,54,1710.39,1
12406.0,22,166,6390.36,2
12407.0,50,77,1708.1200000000001,0
12408.0,33,159,4340.7699999999995,2
12409.0,79,264,23419.29,2
12410.0,309,40,1013.71,1
12411.0,410,22,346.9,3
12412.0,75,127,2596.93,1
12413.0,67,51,999.45,0
12414.0,217,28,952.41,1
12415.0,24,928,144458.37,2
12416.0,657,11,202.56,3
12417.0,3,371,6816.91,2
12418.0,113,102,2021.2,1
12419.0,386,25,503.01,3
12420.0,64,29,600.39,0
12421.0,16,65,1098.6,0
12422.0,96,172,5231.8,2
12423.0,1,165,2622.39,2
12424.0,163,92,3340.03,1
12425.0,78,91,1741.41,1
12426.0,195,77,1345.21,1
12427.0,22,41,1129.3,0
12428.0,26,294,7956.46,2
12429.0,9,173,7485.91,2
12430.0,43,11,256.4,3
12431.0,36,406,10857.97,2
12432.0,43,108,5059.32,2
12433.0,1,706,20581.26,2
12434.0,85,70,1103.43,1
12435.0,80,112,13925.93,2
12436.0,100,16,509.01,3
12437.0,2,564,12683.4,2
12438.0,14,98,2906.85,2
12439.0,683,72,1158.18,1
12440.0,462,32,859.2,1
12441.0,367,22,347.1,3
12442.0,3,12,172.06,0
12443.0,732,21,485.31,3
12444.0,21,177,5005.46,2
12445.0,22,24,434.98,0
12446.0,58,58,1002.3100000000001,0
12447.0,243,26,476.49,3
12448.0,44,22,449.45,0
12449.0,22,201,4835.89,2
12450.0,156,37,688.2,1
12451.0,11,511,12669.88,2
12452.0,17,22,430.57,0
12453.0,134,43,707.09,1
12454.0,56,40,16679.78,2
12455.0,73,227,5879.95,2
12456.0,44,125,3181.04,2
12457.0,66,85,2995.91,1
12458.0,71,84,1777.49,1
12459.0,605,23,454.36,3
12460.0,456,18,326.65,3
12461.0,94,35,826.88,1
12462.0,19,62,1189.59,0
12463.0,53,83,1344.78,0
12464.0,10,29,1212.05,0
12465.0,17,47,742.1899999999999,0
12466.0,682,1,56.73,3
12467.0,423,9,132.8,3
12468.0,188,150,3670.74,1
12469.0,523,76,3070.54,1
12470.0,690,23,211.95,3
12471.0,2,1138,39963.79,2
12472.0,32,911,17880.59,2
12473.0,29,168,3938.5499999999997,2
12474.0,17,710,12424.45,2
12475.0,54,61,1149.64,0
12476.0,16,516,14115.41,2
12477.0,23,564,20276.37,2
12478.0,4,36,680.99,0
12479.0,11,31,527.2,0
12480.0,28,242,5464.85,2
12481.0,23,391,12361.39,2
12482.0,576,204,23691.4,1
12483.0,17,139,5120.58,2
12484.0,33,475,6370.15,2
12485.0,529,34,708.1,1
12486.0,432,49,1037.28,1
12487.0,731,2,285.29999999999995,3
12488.0,10,55,1298.66,0
12489.0,336,15,334.93,3
12490.0,5,462,9823.64,2
12491.0,39,26,460.40000000000003,0
12492.0,63,42,715.21,0
12493.0,166,22,433.74,3
12494.0,16,111,1872.8700000000001,0
12495.0,641,17,357.4,3
12496.0,620,13,54.09,3
12497.0,82,57,6248.5,1
12498.0,21,23,403.70000000000005,0
12499.0,560,27,393.72,3
12500.0,23,146,5955.21,2
12501.0,337,149,2169.39,1
12502.0,96,147,3723.87,1
12503.0,584,2,1126.0,3
12504.0,18,20,779.05,0
12505.0,409,42,955.2,1
12506.0,233,23,73.5,3
12507.0,134,50,1844.06,1
12508.0,26,69,398.27,0
12509.0,284,7,176.5,3
12510.0,143,145,5178.02,1
12511.0,429,190,3084.02,1
12512.0,66,34,138.03,3
12513.0,113,35,612.29,1
12514.0,267,84,1597.76,1
12515.0,353,16,383.7,3
12516.0,78,74,2648.62,1
12517.0,28,284,2502.84,2
12518.0,1,124,2056.89,2
12519.0,64,40,726.54,0
12520.0,79,152,2634.26,1
12521.0,143,38,599.68,1
12522.0,39,12,192.72,3
12523.0,19,250,4372.15,2
12524.0,9,240,11126.11,2
12525.0,498,60,973.73,1
12526.0,1,71,1316.66,0
12527.0,82,32,735.51,0
12528.0,9,92,1933.48,0
12529.0,528,21,316.48,3
12530.0,60,158,3759.26,2
12531.0,15,127,1933.2,2
12532.0,30,16,349.83000000000004,0
12533.0,628,72,1367.89,1
12534.0,131,63,1089.18,1
12535.0,92,34,716.35,1
12536.0,43,261,12601.830000000002,2
12537.0,409,43,732.94,1
12538.0,29,34,640.45,0
12539.0,22,504,11214.75,2
12540.0,20,771,22254.49,2
12541.0,30,52,981.18,0
12542.0,484,39,481.88,1
12543.0,448,43,980.25,1
12544.0,36,19,372.7,0
12545.0,75,50,1000.39,1
12546.0,47,69,1161.5,0
12547.0,198,21,383.58,3
12548.0,166,5,95.19999999999999,3
12549.0,576,49,1575.68,1
12550.0,79,57,964.83,1
12551.0,358,10,168.0,3
12552.0,39,20,437.82,0
12553.0,8,238,4608.75,2
12554.0,449,26,468.5,3
12555.0,682,1,129.23,3
12556.0,50,121,603.71,0
12557.0,16,58,18716.14,2
12558.0,8,11,269.96,0
12559.0,311,21,561.71,3
12560.0,5,105,2134.01,2
12561.0,303,16,238.85,3
12562.0,8,207,4966.92,2
12563.0,409,13,249.24,3
12564.0,261,21,456.9,3
12565.0,289,9,145.92,3
12566.0,86,19,351.65,3
12567.0,23,639,13709.86,2
12568.0,645,5,70.0,3
12569.0,2,188,4124.69,2
12570.0,682,1,77.52,3
12571.0,40,34,519.61,0
12572.0,9,60,1020.42,0
12573.0,227,119,717.41,1
12574.0,316,11,218.45,3
12575.0,457,38,622.8199999999999,1
12576.0,36,142,2142.72,2
12577.0,35,302,1653.75,2
12578.0,21,172,4642.45,2
12579.0,78,29,440.42,0
12580.0,247,58,1052.9,1
12581.0,40,15,197.71,0
12582.0,239,103,1980.4,1
12583.0,3,466,14447.44,2
12584.0,4,96,2338.15,2
12585.0,234,87,2040.1,1
12586.0,17,94,2062.67,0
12587.0,8,4,144.0,0
12588.0,39,46,958.78,0
12589.0,29,180,4695.66,2
12590.0,211,68,9864.26,1
12591.0,317,69,1352.15,1
12592.0,92,81,2582.66,1
12593.0,109,21,418.09999999999997,3
12594.0,38,199,5090.110000000001,2
12595.0,505,19,299.02,3
12596.0,51,27,618.27,0
12597.0,19,206,3811.22,2
12598.0,10,206,4534.09,2
12599.0,29,133,2296.72,2
12600.0,29,132,5043.92,2
12601.0,190,34,681.26,1
12602.0,59,12,153.12,3
12603.0,22,3,739.1999999999999,0
12604.0,79,16,254.18,3
12605.0,376,76,1232.95,1
12606.0,682,1,21.0,3
12607.0,60,101,1579.51,1
12608.0,405,16,415.79,3
12609.0,78,175,3435.86,2
12610.0,23,106,2099.54,0
12611.0,52,65,1193.32,0
12612.0,74,19,704.0400000000001,0
12613.0,57,327,6835.07,2
12614.0,278,20,315.6,3
12615.0,2,270,5740.98,2
12616.0,95,54,1131.1,1
12617.0,29,42,355.53,0
12618.0,22,11,177.31,0
12619.0,16,100,3781.38,2
12620.0,15,92,1339.41,0
12621.0,2,770,24775.81,2
12622.0,232,11,180.1,3
12623.0,276,174,3747.84,1
12624.0,106,38,641.13,1
12625.0,212,183,5164.88,1
12626.0,23,294,6620.48,2
12627.0,11,230,4478.53,2
12628.0,4,41,786.46,0
12629.0,386,45,1558.22,1
12630.0,10,64,1270.88,0
12631.0,57,183,3481.57,2
12632.0,521,35,804.88,1
12633.0,59,306,5678.16,2
12634.0,536,20,490.0,3
12635.0,90,179,2930.41,1
12636.0,739,1,141.0,3
12637.0,67,635,8340.31,2
12638.0,33,48,921.49,0
12639.0,239,64,1312.37,1
12640.0,24,53,1174.58,0
12641.0,115,10,185.9,3
12642.0,25,47,1013.26,0
12643.0,128,52,8350.42,1
12644.0,130,111,1918.49,1
12645.0,34,160,3539.3,2
12646.0,5,45,1346.97,0
12647.0,22,556,17924.35,2
12648.0,155,65,1112.0,1
12649.0,107,118,2294.65,1
12650.0,3,20,314.44,0
12651.0,335,30,377.75,3
12652.0,331,51,1017.03,1
12653.0,149,86,4160.83,1
12654.0,11,38,601.98,0
12655.0,424,16,261.35,3
12656.0,17,247,6407.83,2
12657.0,11,47,1643.18,0
12658.0,19,36,686.05,0
12659.0,30,5,91.68,3
12660.0,11,13,245.1,0
12661.0,436,11,162.0,3
12662.0,1,406,6988.02,2
12663.0,625,10,239.4,3
12664.0,8,45,6070.04,2
12665.0,325,17,313.6,3
12666.0,394,31,1248.42,1
12667.0,58,33,620.13,0
12668.0,12,539,11444.68,2
12669.0,151,101,2744.0299999999997,1
12670.0,10,115,3760.29,2
12671.0,606,45,2622.481,1
12672.0,330,22,437.05,3
12673.0,5,74,1230.02,0
12674.0,39,83,1970.6,0
12675.0,554,113,958.5,1
12676.0,25,107,2843.09,2
12677.0,555,21,395.1,3
12678.0,42,376,34281.18,2
12679.0,59,48,1113.02,0
12680.0,1,53,880.81,0
12681.0,15,1465,30868.28,2
12682.0,4,1039,24033.91,2
12683.0,4,541,12696.78,2
12684.0,8,105,2283.63,2
12685.0,28,157,2863.08,2
12686.0,372,14,178.28,3
12687.0,481,126,2138.91,1
12688.0,114,171,4873.8099999999995,1
12689.0,26,72,1247.61,0
12690.0,206,16,389.01,3
12691.0,28,39,1170.4,0
12692.0,637,13,110.95,3
12693.0,127,79,1703.02,1
12694.0,70,83,1843.35,1
12695.0,7,59,1407.1200000000001,0
12696.0,435,49,851.91,1
12697.0,29,41,957.59,0
12698.0,590,16,339.75,3
12699.0,418,41,638.11,1
12700.0,8,268,4939.99,2
12701.0,80,147,2446.41,1
12702.0,20,12,219.0,0
12703.0,71,74,1006.53,1
12704.0,7,88,2340.84,2
12705.0,15,599,11762.1,2
12707.0,292,33,603.42,1
12708.0,30,310,5314.1,2
12709.0,15,500,31093.34,2
12710.0,97,77,1149.02,1
12711.0,612,60,1339.05,1
12712.0,29,276,7193.66,2
12713.0,1,38,848.55,0
12714.0,9,696,14093.71,2
12715.0,106,21,353.86,3
